08-18-2026 16:28:46 RAM 12722/15643MB (lfb 2x4MB) SWAP 1173/7821MB (cached 2MB) CPU [9%@729,3%@729,3%@729,23%@729,1%@1344,2%@1344,38%@1344,27%@1344] GR3D_FREQ 8% cv0@57.281C cpu@59.218C soc2@56.406C soc0@58.218C cv1@57.125C gpu@56C tj@60.25C soc1@60.25C cv2@56.093C VDD_IN 6908mW/6902mW VDD_CPU_GPU_CV 2066mW/2066mW VDD_SOC 1704mW/1687mW
08-18-2026 16:28:47 RAM 12723/15643MB (lfb 2x4MB) SWAP 1173/7821MB (cached 2MB) CPU [9%@1984,4%@1984,2%@1984,24%@1984,0%@1984,1%@1984,1%@1984,68%@1984] GR3D_FREQ 9% cv0@57.312C cpu@59C soc2@56.25C soc0@58.25C cv1@56.906C gpu@56C tj@60.125C soc1@60.125C cv2@56.062C VDD_IN 6908mW/6903mW VDD_CPU_GPU_CV 2025mW/2063mW VDD_SOC 1704mW/1688mW
08-18-2026 16:28:48 RAM 12722/15643MB (lfb 2x4MB) SWAP 1173/7821MB (cached 2MB) CPU [8%@1984,3%@1984,2%@1984,28%@1984,0%@1344,1%@1344,23%@1344,47%@1344] GR3D_FREQ 11% cv0@57.218C cpu@59.125C soc2@56.218C soc0@58.093C cv1@56.968C gpu@56.375C tj@60.093C soc1@60.093C cv2@56.281C VDD_IN 6897mW/6902mW VDD_CPU_GPU_CV 2066mW/2063mW VDD_SOC 1704mW/1689mW
08-18-2026 16:28:49 RAM 12719/15643MB (lfb 2x4MB) SWAP 1173/7821MB (cached 2MB) CPU [11%@729,4%@729,3%@729,25%@729,1%@1984,6%@1984,14%@1984,47%@1984] GR3D_FREQ 9% cv0@57.25C cpu@59.125C soc2@56.312C soc0@58.156C cv1@57.093C gpu@56.375C tj@60.093C soc1@60.093C cv2@56C VDD_IN 6897mW/6902mW VDD_CPU_GPU_CV 2066mW/2063mW VDD_SOC 1704mW/1690mW
08-18-2026 16:28:50 RAM 13153/15643MB (lfb 2x4MB) SWAP 1173/7821MB (cached 2MB) CPU [8%@1984,2%@1984,1%@1984,36%@1984,1%@1984,0%@1984,29%@1984,46%@1984] GR3D_FREQ 0% cv0@57.375C cpu@59C soc2@56.343C soc0@58.187C cv1@57.062C gpu@56C tj@60.125C soc1@60.125C cv2@56.062C VDD_IN 7181mW/6918mW VDD_CPU_GPU_CV 2349mW/2079mW VDD_SOC 1663mW/1688mW
08-18-2026 16:28:51 RAM 13209/15643MB (lfb 2x4MB) SWAP 1173/7821MB (cached 2MB) CPU [2%@1984,1%@1984,1%@1984,0%@1984,2%@1984,0%@1984,87%@1984,0%@1984] GR3D_FREQ 99% cv0@57.562C cpu@59.562C soc2@56.937C soc0@58.531C cv1@57.062C gpu@61.625C tj@61.625C soc1@60C cv2@56.312C VDD_IN 16032mW/7397mW VDD_CPU_GPU_CV 10112mW/2502mW VDD_SOC 2056mW/1707mW
08-18-2026 16:28:52 RAM 13209/15643MB (lfb 2x4MB) SWAP 1173/7821MB (cached 2MB) CPU [1%@729,1%@729,0%@729,0%@729,0%@1984,0%@1984,100%@1984,0%@1984] GR3D_FREQ 99% cv0@57.656C cpu@59.656C soc2@57.593C soc0@58.687C cv1@57.281C gpu@62.25C tj@62.25C soc1@60.343C cv2@56.656C VDD_IN 17136mW/7884mW VDD_CPU_GPU_CV 11177mW/2936mW VDD_SOC 2056mW/1725mW
08-18-2026 16:28:53 RAM 13211/15643MB (lfb 2x4MB) SWAP 1173/7821MB (cached 2MB) CPU [1%@1984,0%@1984,4%@1984,5%@1984,0%@1984,0%@1984,100%@1984,0%@1984] GR3D_FREQ 99% cv0@58C cpu@60.062C soc2@57.875C soc0@59.093C cv1@57.781C gpu@62.656C tj@62.656C soc1@60.5C cv2@56.812C VDD_IN 17256mW/8330mW VDD_CPU_GPU_CV 11298mW/3334mW VDD_SOC 2056mW/1741mW
08-18-2026 16:28:54 RAM 13213/15643MB (lfb 2x4MB) SWAP 1173/7821MB (cached 2MB) CPU [1%@729,0%@729,0%@729,1%@729,0%@729,0%@729,13%@729,0%@729] GR3D_FREQ 99% cv0@58.062C cpu@59.843C soc2@57.718C soc0@59.218C cv1@57.625C gpu@61.375C tj@61.375C soc1@60.687C cv2@56.843C VDD_IN 14295mW/8602mW VDD_CPU_GPU_CV 8359mW/3562mW VDD_SOC 2099mW/1757mW
08-18-2026 16:28:55 RAM 13213/15643MB (lfb 2x4MB) SWAP 1173/7821MB (cached 2MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,2%@729] GR3D_FREQ 99% cv0@58.187C cpu@60.156C soc2@57.718C soc0@59.218C cv1@57.593C gpu@61.468C tj@61.468C soc1@60.656C cv2@56.968C VDD_IN 13873mW/8831mW VDD_CPU_GPU_CV 7917mW/3752mW VDD_SOC 2099mW/1772mW
08-18-2026 16:28:56 RAM 13213/15643MB (lfb 2x4MB) SWAP 1173/7821MB (cached 2MB) CPU [2%@729,1%@729,0%@729,0%@729,0%@729,0%@729,0%@729,1%@729] GR3D_FREQ 99% cv0@58.093C cpu@59.843C soc2@57.718C soc0@59.25C cv1@57.718C gpu@61.406C tj@61.406C soc1@60.781C cv2@56.875C VDD_IN 13873mW/9041mW VDD_CPU_GPU_CV 7930mW/3926mW VDD_SOC 2099mW/1785mW
