08-18-2026 16:27:50 RAM 11833/15643MB (lfb 1x4MB) SWAP 1174/7821MB (cached 2MB) CPU [9%@729,2%@729,33%@729,25%@729,2%@1267,13%@1267,4%@1267,24%@1267] GR3D_FREQ 9% cv0@54.125C cpu@55.812C soc2@53.125C soc0@54.875C cv1@53.968C gpu@52.75C tj@56.968C soc1@56.968C cv2@52.906C VDD_IN 6786mW/6827mW VDD_CPU_GPU_CV 1985mW/2051mW VDD_SOC 1663mW/1660mW
08-18-2026 16:27:51 RAM 11834/15643MB (lfb 1x4MB) SWAP 1174/7821MB (cached 2MB) CPU [10%@729,3%@729,22%@729,5%@729,1%@1267,0%@1267,0%@1267,67%@1267] GR3D_FREQ 10% cv0@54.187C cpu@56C soc2@53.031C soc0@55.093C cv1@53.843C gpu@52.843C tj@57.125C soc1@57.218C cv2@53.031C VDD_IN 6868mW/6829mW VDD_CPU_GPU_CV 2025mW/2050mW VDD_SOC 1663mW/1660mW
08-18-2026 16:27:52 RAM 11834/15643MB (lfb 1x4MB) SWAP 1174/7821MB (cached 2MB) CPU [9%@729,3%@729,3%@729,20%@729,0%@1984,1%@1984,0%@1984,66%@1984] GR3D_FREQ 0% cv0@54.343C cpu@56.125C soc2@53.062C soc0@54.906C cv1@53.968C gpu@52.937C tj@57C soc1@57C cv2@53.062C VDD_IN 6786mW/6827mW VDD_CPU_GPU_CV 1985mW/2046mW VDD_SOC 1663mW/1661mW
08-18-2026 16:27:53 RAM 12294/15643MB (lfb 1x4MB) SWAP 1174/7821MB (cached 2MB) CPU [4%@729,0%@729,2%@729,16%@729,0%@1984,0%@1984,0%@1984,64%@1984] GR3D_FREQ 99% cv0@54.187C cpu@56.312C soc2@53.375C soc0@55.125C cv1@54C gpu@57.468C tj@57.468C soc1@57.031C cv2@53.031C VDD_IN 11829mW/7121mW VDD_CPU_GPU_CV 6168mW/2288mW VDD_SOC 1981mW/1679mW
08-18-2026 16:27:54 RAM 12304/15643MB (lfb 1x4MB) SWAP 1174/7821MB (cached 2MB) CPU [1%@729,1%@729,3%@729,1%@729,0%@729,0%@729,0%@729,47%@729] GR3D_FREQ 99% cv0@54.468C cpu@56.312C soc2@54C soc0@55.531C cv1@54.281C gpu@57.125C tj@57.343C soc1@57.343C cv2@53.312C VDD_IN 14035mW/7505mW VDD_CPU_GPU_CV 7890mW/2599mW VDD_SOC 2180mW/1707mW
08-18-2026 16:27:55 RAM 12339/15643MB (lfb 1x4MB) SWAP 1174/7821MB (cached 2MB) CPU [3%@729,1%@729,1%@729,9%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 99% cv0@54.687C cpu@56.531C soc2@54.062C soc0@55.75C cv1@54.218C gpu@57.5C tj@57.562C soc1@57.562C cv2@53.437C VDD_IN 13307mW/7810mW VDD_CPU_GPU_CV 7205mW/2842mW VDD_SOC 2143mW/1730mW
08-18-2026 16:27:56 RAM 12339/15643MB (lfb 1x4MB) SWAP 1174/7821MB (cached 2MB) CPU [1%@729,1%@729,2%@729,2%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 99% cv0@54.687C cpu@56.906C soc2@54.25C soc0@55.812C cv1@54.406C gpu@57.843C tj@57.843C soc1@57.437C cv2@53.781C VDD_IN 13428mW/8091mW VDD_CPU_GPU_CV 7366mW/3068mW VDD_SOC 2143mW/1751mW
08-18-2026 16:27:57 RAM 12340/15643MB (lfb 1x4MB) SWAP 1174/7821MB (cached 2MB) CPU [0%@729,1%@729,1%@729,1%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 99% cv0@54.843C cpu@56.625C soc2@54.437C soc0@56.062C cv1@54.625C gpu@58.187C tj@58.187C soc1@57.718C cv2@53.687C VDD_IN 13509mW/8349mW VDD_CPU_GPU_CV 7366mW/3273mW VDD_SOC 2184mW/1771mW
08-18-2026 16:27:58 RAM 12340/15643MB (lfb 1x4MB) SWAP 1174/7821MB (cached 2MB) CPU [0%@729,0%@729,3%@729,1%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 99% cv0@55.093C cpu@56.875C soc2@54.593C soc0@56.25C cv1@54.562C gpu@58.031C tj@58.031C soc1@57.937C cv2@53.875C VDD_IN 13428mW/8580mW VDD_CPU_GPU_CV 7326mW/3457mW VDD_SOC 2140mW/1788mW
08-18-2026 16:27:59 RAM 12342/15643MB (lfb 1x4MB) SWAP 1174/7821MB (cached 2MB) CPU [1%@729,1%@729,2%@729,1%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 99% cv0@55.343C cpu@57.218C soc2@54.781C soc0@56.312C cv1@54.718C gpu@58.218C tj@58.218C soc1@57.812C cv2@54.093C VDD_IN 13509mW/8794mW VDD_CPU_GPU_CV 7366mW/3627mW VDD_SOC 2180mW/1805mW
08-18-2026 16:28:00 RAM 12342/15643MB (lfb 1x4MB) SWAP 1174/7821MB (cached 2MB) CPU [3%@729,1%@729,2%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 99% cv0@55.218C cpu@57.062C soc2@54.937C soc0@56.343C cv1@54.968C gpu@58.75C tj@58.75C soc1@58C cv2@54.093C VDD_IN 13469mW/8989mW VDD_CPU_GPU_CV 7366mW/3783mW VDD_SOC 2184mW/1821mW
08-18-2026 16:28:01 RAM 12347/15643MB (lfb 1x4MB) SWAP 1174/7821MB (cached 2MB) CPU [10%@729,12%@729,3%@729,0%@729,3%@729,0%@729,0%@729,1%@729] GR3D_FREQ 96% cv0@55.406C cpu@57.281C soc2@54.875C soc0@56.531C cv1@55.125C gpu@57.625C tj@58.218C soc1@58.218C cv2@54.25C VDD_IN 12013mW/9110mW VDD_CPU_GPU_CV 5765mW/3862mW VDD_SOC 2224mW/1837mW
08-18-2026 16:28:02 RAM 12347/15643MB (lfb 1x4MB) SWAP 1174/7821MB (cached 2MB) CPU [1%@1984,2%@1984,2%@1984,0%@1984,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 99% cv0@55.531C cpu@57.375C soc2@54.906C soc0@56.875C cv1@55.093C gpu@57.312C tj@58.031C soc1@58.031C cv2@54.375C VDD_IN 11891mW/9217mW VDD_CPU_GPU_CV 5644mW/3930mW VDD_SOC 2265mW/1854mW
08-18-2026 16:28:03 RAM 12347/15643MB (lfb 1x4MB) SWAP 1174/7821MB (cached 2MB) CPU [2%@729,1%@729,2%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 99% cv0@55.5C cpu@57.406C soc2@54.968C soc0@56.718C cv1@55.25C gpu@57.406C tj@58.25C soc1@58.25C cv2@54.562C VDD_IN 11932mW/9318mW VDD_CPU_GPU_CV 5644mW/3994mW VDD_SOC 2265mW/1869mW
08-18-2026 16:28:04 RAM 12347/15643MB (lfb 1x4MB) SWAP 1174/7821MB (cached 2MB) CPU [2%@729,1%@729,2%@729,1%@729,1%@729,0%@729,0%@729,0%@729] GR3D_FREQ 99% cv0@55.562C cpu@57.468C soc2@55.125C soc0@56.718C cv1@55.281C gpu@57.812C tj@58.468C soc1@58.468C cv2@54.437C VDD_IN 11932mW/9411mW VDD_CPU_GPU_CV 5644mW/4053mW VDD_SOC 2265mW/1883mW
08-18-2026 16:28:05 RAM 12347/15643MB (lfb 1x4MB) SWAP 1174/7821MB (cached 2MB) CPU [2%@1984,1%@1984,2%@1984,0%@1984,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 99% cv0@55.75C cpu@57.625C soc2@55.187C soc0@56.968C cv1@55.343C gpu@57.968C tj@58.531C soc1@58.531C cv2@54.625C VDD_IN 11951mW/9499mW VDD_CPU_GPU_CV 5644mW/4108mW VDD_SOC 2265mW/1896mW
08-18-2026 16:28:06 RAM 12347/15643MB (lfb 1x4MB) SWAP 1174/7821MB (cached 2MB) CPU [1%@729,1%@729,3%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 99% cv0@55.75C cpu@57.968C soc2@55.25C soc0@56.906C cv1@55.406C gpu@57.781C tj@58.5C soc1@58.5C cv2@54.812C VDD_IN 11972mW/9581mW VDD_CPU_GPU_CV 5685mW/4160mW VDD_SOC 2265mW/1908mW
08-18-2026 16:28:07 RAM 12347/15643MB (lfb 1x4MB) SWAP 1174/7821MB (cached 2MB) CPU [1%@1984,2%@1984,2%@1984,0%@1984,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 99% cv0@55.906C cpu@57.718C soc2@55.312C soc0@57.062C cv1@55.562C gpu@57.781C tj@58.625C soc1@58.625C cv2@54.718C VDD_IN 11951mW/9658mW VDD_CPU_GPU_CV 5644mW/4208mW VDD_SOC 2265mW/1920mW
08-18-2026 16:28:08 RAM 12347/15643MB (lfb 1x4MB) SWAP 1174/7821MB (cached 2MB) CPU [1%@729,1%@729,1%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 99% cv0@55.968C cpu@57.875C soc2@55.406C soc0@57.281C cv1@55.531C gpu@58.187C tj@58.75C soc1@58.75C cv2@54.843C VDD_IN 11910mW/9728mW VDD_CPU_GPU_CV 5644mW/4253mW VDD_SOC 2265mW/1931mW
08-18-2026 16:28:09 RAM 12347/15643MB (lfb 1x4MB) SWAP 1174/7821MB (cached 2MB) CPU [3%@729,1%@729,2%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 95% cv0@56.218C cpu@58.031C soc2@55.562C soc0@57.343C cv1@55.656C gpu@58.468C tj@58.812C soc1@58.812C cv2@55.062C VDD_IN 11972mW/9796mW VDD_CPU_GPU_CV 5644mW/4295mW VDD_SOC 2265mW/1941mW
08-18-2026 16:28:10 RAM 12347/15643MB (lfb 1x4MB) SWAP 1174/7821MB (cached 2MB) CPU [0%@729,1%@729,2%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 96% cv0@56.125C cpu@58.062C soc2@55.593C soc0@57.406C cv1@55.875C gpu@58.093C tj@58.875C soc1@58.875C cv2@55.031C VDD_IN 11991mW/9861mW VDD_CPU_GPU_CV 5644mW/4335mW VDD_SOC 2265mW/1950mW
08-18-2026 16:28:11 RAM 12347/15643MB (lfb 1x4MB) SWAP 1174/7821MB (cached 2MB) CPU [1%@729,4%@729,3%@729,1%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 99% cv0@56.218C cpu@58.062C soc2@55.781C soc0@57.468C cv1@56.031C gpu@58.125C tj@59.031C soc1@59.031C cv2@55C VDD_IN 11991mW/9921mW VDD_CPU_GPU_CV 5685mW/4373mW VDD_SOC 2265mW/1959mW
08-18-2026 16:28:12 RAM 12347/15643MB (lfb 1x4MB) SWAP 1174/7821MB (cached 2MB) CPU [2%@729,1%@729,2%@729,1%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 97% cv0@56.406C cpu@58.25C soc2@55.781C soc0@57.656C cv1@55.937C gpu@58.437C tj@59.156C soc1@59.156C cv2@55.218C VDD_IN 11972mW/9978mW VDD_CPU_GPU_CV 5685mW/4410mW VDD_SOC 2265mW/1968mW
08-18-2026 16:28:13 RAM 12348/15643MB (lfb 1x4MB) SWAP 1173/7821MB (cached 2MB) CPU [2%@729,12%@729,2%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 99% cv0@56.343C cpu@58.625C soc2@55.906C soc0@57.5C cv1@56.125C gpu@58.312C tj@59.125C soc1@59.125C cv2@55.437C VDD_IN 12013mW/10033mW VDD_CPU_GPU_CV 5685mW/4444mW VDD_SOC 2265mW/1976mW
08-18-2026 16:28:14 RAM 12355/15643MB (lfb 1x4MB) SWAP 1173/7821MB (cached 2MB) CPU [4%@729,2%@729,13%@729,0%@1984,0%@729,0%@729,0%@729,8%@729] GR3D_FREQ 99% cv0@56.562C cpu@58.843C soc2@56.218C soc0@57.75C cv1@56.281C gpu@58.718C tj@59.437C soc1@59.437C cv2@55.468C VDD_IN 13388mW/10122mW VDD_CPU_GPU_CV 5998mW/4485mW VDD_SOC 3190mW/2008mW
08-18-2026 16:28:15 RAM 12355/15643MB (lfb 1x4MB) SWAP 1173/7821MB (cached 2MB) CPU [2%@729,0%@729,1%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 96% cv0@56.781C cpu@59.156C soc2@56.312C soc0@58.031C cv1@56.593C gpu@59.156C tj@59.625C soc1@59.625C cv2@55.593C VDD_IN 13995mW/10221mW VDD_CPU_GPU_CV 6118mW/4527mW VDD_SOC 3634mW/2050mW
