08-18-2026 13:59:04 RAM 7109/15643MB (lfb 27x2MB) SWAP 1237/7821MB (cached 2MB) CPU [6%@729,0%@729,4%@729,8%@729,7%@729,1%@729,12%@729,0%@729] GR3D_FREQ 96% cv0@67.468C cpu@70.593C soc2@67.437C soc0@68.562C cv1@67.656C gpu@71.375C tj@71.375C soc1@69.843C cv2@66.75C VDD_IN 19483mW/11636mW VDD_CPU_GPU_CV 9094mW/5095mW VDD_SOC 4943mW/2729mW
08-18-2026 13:59:05 RAM 7110/15643MB (lfb 27x2MB) SWAP 1237/7821MB (cached 2MB) CPU [0%@729,0%@1984,0%@1984,1%@1984,0%@729,0%@729,1%@729,0%@729] GR3D_FREQ 97% cv0@67.468C cpu@70.937C soc2@67.718C soc0@68.781C cv1@67.937C gpu@71.656C tj@71.656C soc1@70.031C cv2@66.75C VDD_IN 20490mW/12226mW VDD_CPU_GPU_CV 9240mW/5372mW VDD_SOC 5385mW/2906mW
08-18-2026 13:59:06 RAM 7117/15643MB (lfb 24x2MB) SWAP 1237/7821MB (cached 2MB) CPU [2%@729,1%@729,0%@729,2%@729,0%@729,1%@729,7%@729,0%@729] GR3D_FREQ 99% cv0@67.812C cpu@71.093C soc2@67.906C soc0@69C cv1@67.875C gpu@71.687C tj@71.687C soc1@70.218C cv2@67.062C VDD_IN 20731mW/12758mW VDD_CPU_GPU_CV 9400mW/5623mW VDD_SOC 5425mW/3063mW
08-18-2026 13:59:07 RAM 7119/15643MB (lfb 24x2MB) SWAP 1237/7821MB (cached 2MB) CPU [1%@729,0%@729,0%@729,1%@729,0%@729,0%@729,3%@729,0%@729] GR3D_FREQ 99% cv0@67.812C cpu@71.718C soc2@67.937C soc0@68.906C cv1@68.093C gpu@71.937C tj@71.937C soc1@70.031C cv2@67.156C VDD_IN 20611mW/13220mW VDD_CPU_GPU_CV 9240mW/5836mW VDD_SOC 5425mW/3202mW
08-18-2026 13:59:08 RAM 7119/15643MB (lfb 24x2MB) SWAP 1237/7821MB (cached 2MB) CPU [2%@1984,1%@1984,0%@1984,0%@1984,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 99% cv0@67.906C cpu@71.25C soc2@68.062C soc0@69.062C cv1@68.156C gpu@72.125C tj@72.125C soc1@70.25C cv2@67.156C VDD_IN 20651mW/13633mW VDD_CPU_GPU_CV 9280mW/6027mW VDD_SOC 5425mW/3326mW
08-18-2026 13:59:09 RAM 7119/15643MB (lfb 24x2MB) SWAP 1237/7821MB (cached 2MB) CPU [0%@729,0%@729,0%@729,1%@729,1%@729,0%@729,0%@729,3%@729] GR3D_FREQ 99% cv0@68.093C cpu@71.5C soc2@68.312C soc0@69.156C cv1@68.281C gpu@72.281C tj@72.281C soc1@70.343C cv2@67.375C VDD_IN 20691mW/14004mW VDD_CPU_GPU_CV 9320mW/6201mW VDD_SOC 5425mW/3436mW
08-18-2026 13:59:10 RAM 7119/15643MB (lfb 24x2MB) SWAP 1237/7821MB (cached 2MB) CPU [0%@729,0%@729,0%@729,0%@729,1%@729,0%@729,2%@729,0%@729] GR3D_FREQ 99% cv0@68.187C cpu@71.812C soc2@68.312C soc0@69.406C cv1@68.312C gpu@72.5C tj@72.5C soc1@70.656C cv2@67.5C VDD_IN 20651mW/14337mW VDD_CPU_GPU_CV 9280mW/6355mW VDD_SOC 5425mW/3536mW
08-18-2026 13:59:11 RAM 7119/15643MB (lfb 24x2MB) SWAP 1237/7821MB (cached 2MB) CPU [0%@729,0%@729,0%@729,2%@729,0%@729,0%@729,1%@729,0%@729] GR3D_FREQ 99% cv0@68.406C cpu@71.593C soc2@68.343C soc0@69.312C cv1@68.468C gpu@72.718C tj@72.718C soc1@70.718C cv2@67.781C VDD_IN 20691mW/14639mW VDD_CPU_GPU_CV 9320mW/6496mW VDD_SOC 5425mW/3626mW
08-18-2026 13:59:12 RAM 7119/15643MB (lfb 24x2MB) SWAP 1237/7821MB (cached 2MB) CPU [1%@729,0%@729,0%@729,1%@729,0%@729,2%@729,1%@729,0%@729] GR3D_FREQ 99% cv0@68.406C cpu@71.812C soc2@68.531C soc0@69.406C cv1@68.562C gpu@72.5C tj@72.5C soc1@70.718C cv2@67.593C VDD_IN 20691mW/14914mW VDD_CPU_GPU_CV 9280mW/6622mW VDD_SOC 5425mW/3707mW
08-18-2026 13:59:13 RAM 7119/15643MB (lfb 24x2MB) SWAP 1237/7821MB (cached 2MB) CPU [1%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,2%@729] GR3D_FREQ 99% cv0@68.562C cpu@71.968C soc2@68.562C soc0@69.656C cv1@68.812C gpu@72.687C tj@72.687C soc1@70.781C cv2@67.656C VDD_IN 20651mW/15164mW VDD_CPU_GPU_CV 9320mW/6740mW VDD_SOC 5425mW/3782mW
