08-18-2026 13:53:18 RAM 5525/15643MB (lfb 2x4MB) SWAP 1240/7821MB (cached 1MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,1%@729] GR3D_FREQ 96% cv0@63.437C cpu@66.593C soc2@63.312C soc0@64.5C cv1@63.25C gpu@66.687C tj@66.687C soc1@65.812C cv2@62.312C VDD_IN 18587mW/13818mW VDD_CPU_GPU_CV 8293mW/6036mW VDD_SOC 4830mW/3425mW
08-18-2026 13:53:19 RAM 5525/15643MB (lfb 2x4MB) SWAP 1240/7821MB (cached 1MB) CPU [2%@729,0%@729,0%@729,0%@729,0%@729,1%@729,0%@729,2%@729] GR3D_FREQ 97% cv0@63.531C cpu@66.375C soc2@63.375C soc0@64.5C cv1@63.343C gpu@67.062C tj@67.062C soc1@65.75C cv2@62.562C VDD_IN 18587mW/14136mW VDD_CPU_GPU_CV 8213mW/6181mW VDD_SOC 4830mW/3519mW
08-18-2026 13:53:20 RAM 5525/15643MB (lfb 2x4MB) SWAP 1240/7821MB (cached 1MB) CPU [0%@729,0%@729,0%@729,0%@729,1%@729,2%@729,0%@729,2%@729] GR3D_FREQ 97% cv0@63.562C cpu@66.562C soc2@63.593C soc0@64.656C cv1@63.468C gpu@67.312C tj@67.312C soc1@65.875C cv2@62.625C VDD_IN 18547mW/14411mW VDD_CPU_GPU_CV 8253mW/6311mW VDD_SOC 4830mW/3601mW
08-18-2026 13:53:21 RAM 5525/15643MB (lfb 2x4MB) SWAP 1240/7821MB (cached 1MB) CPU [1%@729,1%@729,0%@729,0%@729,0%@729,0%@729,0%@729,1%@729] GR3D_FREQ 97% cv0@63.781C cpu@66.562C soc2@63.625C soc0@64.875C cv1@63.562C gpu@67.031C tj@67.031C soc1@66.031C cv2@62.75C VDD_IN 18547mW/14655mW VDD_CPU_GPU_CV 8213mW/6423mW VDD_SOC 4830mW/3673mW
08-18-2026 13:53:22 RAM 5525/15643MB (lfb 2x4MB) SWAP 1240/7821MB (cached 1MB) CPU [0%@729,0%@729,0%@729,1%@729,0%@729,1%@729,0%@729,3%@729] GR3D_FREQ 97% cv0@63.875C cpu@66.781C soc2@63.718C soc0@64.968C cv1@63.625C gpu@67.093C tj@66.968C soc1@66.25C cv2@62.781C VDD_IN 18547mW/14871mW VDD_CPU_GPU_CV 8253mW/6524mW VDD_SOC 4870mW/3739mW
08-18-2026 13:53:23 RAM 5525/15643MB (lfb 2x4MB) SWAP 1240/7821MB (cached 1MB) CPU [1%@729,0%@729,0%@729,0%@729,0%@729,1%@729,0%@729,2%@729] GR3D_FREQ 97% cv0@64.031C cpu@67.125C soc2@63.875C soc0@64.968C cv1@63.781C gpu@67.187C tj@67.187C soc1@66.218C cv2@63.062C VDD_IN 18547mW/15064mW VDD_CPU_GPU_CV 8213mW/6613mW VDD_SOC 4870mW/3799mW
08-18-2026 13:53:24 RAM 5525/15643MB (lfb 2x4MB) SWAP 1240/7821MB (cached 1MB) CPU [1%@729,0%@729,1%@729,0%@729,0%@729,1%@729,0%@729,1%@729] GR3D_FREQ 96% cv0@63.968C cpu@66.968C soc2@63.906C soc0@65.125C cv1@63.937C gpu@67.437C tj@67.437C soc1@66.25C cv2@63.093C VDD_IN 18506mW/15236mW VDD_CPU_GPU_CV 8213mW/6693mW VDD_SOC 4830mW/3850mW
08-18-2026 13:53:25 RAM 5525/15643MB (lfb 2x4MB) SWAP 1240/7821MB (cached 1MB) CPU [1%@729,0%@729,0%@729,0%@729,0%@729,1%@729,0%@729,2%@729] GR3D_FREQ 97% cv0@64.187C cpu@67.031C soc2@64.093C soc0@65.375C cv1@64.156C gpu@67.5C tj@67.5C soc1@66.437C cv2@63.125C VDD_IN 18547mW/15394mW VDD_CPU_GPU_CV 8253mW/6767mW VDD_SOC 4870mW/3899mW
08-18-2026 13:53:26 RAM 5525/15643MB (lfb 2x4MB) SWAP 1240/7821MB (cached 1MB) CPU [0%@729,0%@729,1%@729,0%@729,0%@729,1%@729,0%@729,2%@729] GR3D_FREQ 99% cv0@64.187C cpu@67.468C soc2@64.281C soc0@65.5C cv1@64.187C gpu@67.625C tj@67.625C soc1@66.718C cv2@63.281C VDD_IN 18547mW/15537mW VDD_CPU_GPU_CV 8213mW/6833mW VDD_SOC 4870mW/3943mW
08-18-2026 13:53:27 RAM 5529/15643MB (lfb 2x4MB) SWAP 1239/7821MB (cached 1MB) CPU [2%@729,0%@729,1%@729,4%@729,0%@729,1%@729,2%@729,10%@729] GR3D_FREQ 96% cv0@64.437C cpu@67.218C soc2@64.281C soc0@65.5C cv1@64.25C gpu@67.531C tj@67.531C soc1@66.593C cv2@63.5C VDD_IN 18547mW/15668mW VDD_CPU_GPU_CV 8253mW/6895mW VDD_SOC 4870mW/3983mW
08-18-2026 13:53:28 RAM 5530/15643MB (lfb 2x4MB) SWAP 1239/7821MB (cached 1MB) CPU [1%@729,0%@729,0%@729,0%@729,1%@729,1%@729,0%@729,1%@729] GR3D_FREQ 99% cv0@64.312C cpu@67.375C soc2@64.375C soc0@65.593C cv1@64.343C gpu@67.687C tj@67.687C soc1@66.875C cv2@63.687C VDD_IN 18506mW/15786mW VDD_CPU_GPU_CV 8213mW/6950mW VDD_SOC 4870mW/4020mW
08-18-2026 13:53:29 RAM 5535/15643MB (lfb 2x4MB) SWAP 1239/7821MB (cached 1MB) CPU [3%@729,1%@729,0%@729,2%@729,1%@729,2%@729,6%@729,10%@729] GR3D_FREQ 97% cv0@64.593C cpu@67.5C soc2@64.531C soc0@65.656C cv1@64.593C gpu@67.906C tj@67.906C soc1@66.937C cv2@63.593C VDD_IN 18708mW/15903mW VDD_CPU_GPU_CV 8333mW/7005mW VDD_SOC 4870mW/4054mW
08-18-2026 13:53:30 RAM 5535/15643MB (lfb 2x4MB) SWAP 1239/7821MB (cached 1MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,1%@729,0%@729,1%@729] GR3D_FREQ 99% cv0@64.656C cpu@67.562C soc2@64.625C soc0@65.812C cv1@64.531C gpu@68.25C tj@68.25C soc1@67.187C cv2@63.718C VDD_IN 18627mW/16008mW VDD_CPU_GPU_CV 8253mW/7053mW VDD_SOC 4870mW/4086mW
08-18-2026 13:53:31 RAM 5535/15643MB (lfb 2x4MB) SWAP 1239/7821MB (cached 1MB) CPU [1%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,1%@729] GR3D_FREQ 96% cv0@64.812C cpu@67.843C soc2@64.687C soc0@66C cv1@64.656C gpu@68.312C tj@68.312C soc1@67C cv2@63.875C VDD_IN 18587mW/16104mW VDD_CPU_GPU_CV 8253mW/7098mW VDD_SOC 4870mW/4115mW
08-18-2026 13:53:32 RAM 5535/15643MB (lfb 2x4MB) SWAP 1239/7821MB (cached 1MB) CPU [0%@729,1%@729,0%@729,0%@729,0%@729,0%@729,0%@729,2%@729] GR3D_FREQ 99% cv0@64.781C cpu@67.875C soc2@64.812C soc0@65.937C cv1@64.687C gpu@68.281C tj@68.281C soc1@67.031C cv2@64.062C VDD_IN 18547mW/16191mW VDD_CPU_GPU_CV 8213mW/7137mW VDD_SOC 4870mW/4142mW
08-18-2026 13:53:33 RAM 5535/15643MB (lfb 2x4MB) SWAP 1239/7821MB (cached 1MB) CPU [2%@729,0%@729,0%@729,0%@729,0%@729,0%@729,1%@729,2%@729] GR3D_FREQ 96% cv0@65.031C cpu@67.843C soc2@65.031C soc0@66C cv1@64.875C gpu@67.968C tj@67.968C soc1@67.281C cv2@64C VDD_IN 18587mW/16273mW VDD_CPU_GPU_CV 8213mW/7175mW VDD_SOC 4870mW/4167mW
08-18-2026 13:53:34 RAM 5543/15643MB (lfb 2x4MB) SWAP 1239/7821MB (cached 1MB) CPU [2%@729,0%@729,0%@729,4%@729,1%@729,0%@729,1%@729,13%@729] GR3D_FREQ 99% cv0@65.062C cpu@68.062C soc2@65.156C soc0@66.125C cv1@65.187C gpu@68.187C tj@68.187C soc1@67.5C cv2@64.062C VDD_IN 18708mW/16355mW VDD_CPU_GPU_CV 8333mW/7213mW VDD_SOC 4870mW/4190mW
